ORDER_NUMBER,JESTA_LINES,NARVAR_LINES,ERROR
02222222511320200708048001,,,ORDER_MISSING
202009251130,2,1,LINE_ITEM_MISMATCH
202010010347,2,1,LINE_ITEM_MISMATCH
02442076,,,ORDER_MISSING
20200916005,4,3,LINE_ITEM_MISMATCH
02222222511320200703048001,,,ORDER_MISSING
202009220913,,,ORDER_MISSING
0511320200623048007,,,ORDER_MISSING
202010011256,2,1,LINE_ITEM_MISMATCH
202010011255,2,1,LINE_ITEM_MISMATCH
202010011255,2,6,SHIPMENT_ITEM_MISMATCH
202009220821,4,3,LINE_ITEM_MISMATCH
202009220921,4,3,LINE_ITEM_MISMATCH
202009220417,4,3,LINE_ITEM_MISMATCH
20200916007,4,3,LINE_ITEM_MISMATCH
202009220643,4,3,LINE_ITEM_MISMATCH
24394153,,,ORDER_MISSING
220200921004,2,9,SHIPMENT_ITEM_MISMATCH
02390051,3,2,LINE_ITEM_MISMATCH
02390051,2,1,SHIPMENT_ITEM_MISMATCH
02222222511320200713000006,,,ORDER_MISSING
11230701,,,ORDER_MISSING
202010011252,2,8,SHIPMENT_ITEM_MISMATCH
202009210551,4,10,SHIPMENT_ITEM_MISMATCH
202010011257,2,1,LINE_ITEM_MISMATCH
202009251128,2,1,LINE_ITEM_MISMATCH
202009251128,1,7,SHIPMENT_ITEM_MISMATCH
202009220822,4,3,LINE_ITEM_MISMATCH
02222222511320200713000005,,,ORDER_MISSING
11230703,,,ORDER_MISSING
02391204,4,3,LINE_ITEM_MISMATCH
202009221051,4,1,LINE_ITEM_MISMATCH
0511320200629048001,,,ORDER_MISSING
202009220929,4,3,LINE_ITEM_MISMATCH
202009221126,2,1,LINE_ITEM_MISMATCH
202009221126,1,10,SHIPMENT_ITEM_MISMATCH
202009220407,4,1,LINE_ITEM_MISMATCH
0222222251133,,,ORDER_MISSING
202009220641,4,3,LINE_ITEM_MISMATCH
202009220911,4,3,LINE_ITEM_MISMATCH
202009220640,4,1,LINE_ITEM_MISMATCH
202009221057,2,10,SHIPMENT_ITEM_MISMATCH
31196143,3,2,SHIPMENT_ITEM_MISMATCH
202009220914,4,2,LINE_ITEM_MISMATCH
202009251126,2,9,SHIPMENT_ITEM_MISMATCH
202009220930,4,3,LINE_ITEM_MISMATCH
0222222251134,,,ORDER_MISSING
202009220421,4,3,LINE_ITEM_MISMATCH
202009220920,4,3,LINE_ITEM_MISMATCH
02222222511320200703048002,,,ORDER_MISSING
202009210659,,,ORDER_MISSING
202009220925,4,3,LINE_ITEM_MISMATCH
202009220925,3,8,SHIPMENT_ITEM_MISMATCH
202009220706,4,3,LINE_ITEM_MISMATCH
202009221053,4,3,LINE_ITEM_MISMATCH
0511320200629048003,,,ORDER_MISSING
202010011251,2,10,SHIPMENT_ITEM_MISMATCH
02222222511320200713140549,,,ORDER_MISSING
